Year,Employment Type,Q3 Payments,Q4 Payments,Record Number,Pay
2017,Part Time,0,0,2252656428,0
2017,Part Time,0,0,2897039671,0
2017,Part Time,4606.8,3960,2380179295,4283.4
2017,Part Time,0,0,394387296,0
2017,Part Time,0,0,4089047684,0
2017,Part Time,5683.45,0,675141854,5683.45
2017,Part Time,4242.78,4054.51,2841821599,4148.645
2017,Part Time,4914.45,4236.05,3516736085,4575.25
2017,Part Time,0,0,500744403,0
2017,Part Time,0,0,2418306273,0
2017,Part Time,167.2,0,2423266938,167.2
2017,Part Time,0,0,2958800008,0
2017,Part Time,0,0,1214795598,0
2017,Part Time,0,0,1586722710,0
2017,Part Time,1746,60,1604052981,903
2017,Part Time,7256.8,0,2378186479,7256.8
2017,Part Time,0,0,2385768875,0
2017,Part Time,3049.98,4089.79,24046945,3569.885
2017,Part Time,2376,0,2756634900,2376
2017,Part Time,4576.8,3854,3070865120,4215.4
2017,Part Time,0,0,3076926288,0
2017,Part Time,0,123.76,2508988205,123.76
2017,Part Time,737.06,2948.23,2532785983,1842.645
2017,Part Time,3264.8,0,2730086508,3264.8
2017,Part Time,0,367.78,2739027925,367.78
2017,Part Time,4161.28,4319.2,2772708446,4240.24
2017,Part Time,0,0,78905977,0
2017,Part Time,0,606.8,2877499423,606.8
2017,Part Time,2351.44,3181.36,2884393023,2766.4
2017,Part Time,3264.8,0,2944889420,3264.8
2017,Part Time,2702.02,0,2989816562,2702.02
2017,Part Time,812.01,0,2999645531,812.01
2017,Part Time,0,0,3015642409,0
2017,Part Time,4027.68,732,3024164431,2379.84
2017,Part Time,0,0,3135918762,0
2017,Part Time,1737,0,3141249870,1737
2017,Part Time,2981.25,0,314260551,2981.25
2017,Part Time,0,0,3142638138,0
2017,Part Time,2720.37,0,3683374577,2720.37
2017,Part Time,0,0,3721729167,0
2017,Part Time,0,615,3730621194,615
2017,Part Time,6390.6,2020.19,1008768468,4205.395
2017,Part Time,0,0,1015466626,0
2017,Part Time,2693.76,2396.16,1025892424,2544.96
2017,Part Time,6493.1,5370.56,1031423145,5931.83
2017,Part Time,1274.75,3829.86,1040232796,2552.305
2017,Part Time,0,0,1059290410,0
2017,Part Time,3515.99,3785.08,1062571069,3650.535
2017,Part Time,0,0,106897957,0
2017,Part Time,3844.07,0,1081244846,3844.07
2017,Part Time,0,0,1084806923,0
2017,Part Time,0,4009.72,1089287469,4009.72
2017,Part Time,1791.3,0,1092224354,1791.3
2017,Part Time,5399.12,50,1070628868,2724.56
2017,Part Time,3384.42,0,1096768385,3384.42
2017,Part Time,702,936,1098035794,819
2017,Part Time,4804.58,3953.8,1102444292,4379.19
2017,Part Time,2146.82,1981.63,1110978868,2064.225
2017,Part Time,4364,3688.68,1122789470,4026.34
2017,Part Time,6945.52,6671.41,1140186862,6808.465
2017,Part Time,6239.97,4258,1110987230,5248.985
2017,Part Time,3323.06,0,1143001563,3323.06
2017,Part Time,3374.42,2706.27,1143087249,3040.345
2017,Part Time,4035.36,3302.4,1147417897,3668.88
2017,Part Time,4627.77,1042.81,1172682587,2835.29
2017,Part Time,413.6,950.4,1179342908,682
2017,Part Time,5667.43,3222.96,1179395647,4445.195
2017,Part Time,5303.48,4495.4,1196686750,4899.44
2017,Part Time,7460.5,312.3,1186352365,3886.4
2017,Part Time,5840.35,4914.36,120911484,5377.355
2017,Part Time,0,0,1212041650,0
2017,Part Time,0,0,125357135,0
2017,Part Time,138.8,255.31,1215696994,197.055
2017,Part Time,2417.35,1607.2,1186380308,2012.275
2017,Part Time,650.03,1681.46,124247430,1165.745
2017,Part Time,3249.15,0,1249532661,3249.15
2017,Part Time,1798.2,4006.8,1249165749,2902.5
2017,Part Time,5443.76,4869.48,1252192015,5156.62
2017,Part Time,7430.81,7257.14,1259950436,7343.975
2017,Part Time,0,0,1325456285,0
2017,Part Time,0,0,1287500076,0
2017,Part Time,5483.76,2961.84,1265221640,4222.8
2017,Part Time,2584.68,488.4,126523470,1536.54
2017,Part Time,2387.61,1410,1298724300,1898.805
2017,Part Time,6547.13,4138.5,1327463763,5342.815
2017,Part Time,5126.51,4755.92,1297055947,4941.215
2017,Part Time,0,0,1358700500,0
2017,Part Time,91.8,0,1367030537,91.8
2017,Part Time,4352.96,890.91,1381354494,2621.935
2017,Part Time,2609.5,0,1301682819,2609.5
2017,Part Time,0,0,1458371674,0
2017,Part Time,5074.6,0,1401566668,5074.6
2017,Part Time,0,0,1408598510,0
2017,Part Time,2727.95,0,1561012710,2727.95
2017,Part Time,4288.8,3686.4,1307887633,3987.6
2017,Part Time,4164.9,5057.01,1316024834,4610.955
2017,Part Time,1921.84,2481.78,1324589838,2201.81
2017,Part Time,0,0,1328522991,0
2017,Part Time,9508.7,7979.35,1461383202,8744.025
2017,Part Time,320.51,2412.6,1328559487,1366.555
2017,Part Time,5482.26,1976.76,1343181123,3729.51
2017,Part Time,4701.8,3900,1476533857,4300.9
2017,Part Time,0,1224,1344718626,1224
2017,Part Time,4301.48,3688.68,1485762569,3995.08
2017,Part Time,3532.65,2906.74,1489139552,3219.695
2017,Part Time,12325.88,10161.6,1362299530,11243.74
2017,Part Time,5667.77,4790.4,1502023151,5229.085
2017,Part Time,3534.81,2718.06,1366961817,3126.435
2017,Part Time,3518.1,5571,1513860970,4544.55
2017,Part Time,8306.92,0,1515812444,8306.92
2017,Part Time,0,0,1524666763,0
2017,Part Time,2791.48,0,1530849686,2791.48
2017,Part Time,6715.98,0,1550119365,6715.98
2017,Part Time,1730.81,0,1585526698,1730.81
2017,Part Time,0,0,1588734187,0
2017,Part Time,4606.8,3960,1595263738,4283.4
2017,Part Time,0,0,1718335620,0
2017,Part Time,0,0,1632937682,0
2017,Part Time,3396.28,0,1639876229,3396.28
2017,Part Time,1375.1,0,1405946311,1375.1
2017,Part Time,4800.4,3968.8,1642374942,4384.6
2017,Part Time,3519.94,0,1644365163,3519.94
2017,Part Time,7610,4620,1650992951,6115
2017,Part Time,3359.08,555.39,1415198222,1957.235
2017,Part Time,1228.43,3350.27,1671466758,2289.35
2017,Part Time,2743.3,0,1677296866,2743.3
2017,Part Time,383.52,387.36,1686116362,385.44
2017,Part Time,0,0,1691192509,0
2017,Part Time,0,0,1693143708,0
2017,Part Time,4742.82,0,1416998930,4742.82
2017,Part Time,4460.95,0,1706988579,4460.95
2017,Part Time,0,0,1707750103,0
2017,Part Time,3889.22,4326.14,1716381731,4107.68
2017,Part Time,3226.28,0,1720911534,3226.28
2017,Part Time,4364,3751.2,172938370,4057.6
2017,Part Time,0,0,1747674530,0
2017,Part Time,1314.56,0,1749320081,1314.56
2017,Part Time,0,134.64,175834050,134.64
2017,Part Time,446.5,0,1420284794,446.5
2017,Part Time,0,0,1782783418,0
2017,Part Time,3951.2,4953.41,142584649,4452.305
2017,Part Time,1370.91,372,1843266643,871.455
2017,Part Time,5362.88,966.45,143464383,3164.665
2017,Part Time,0,0,1938521192,0
2017,Part Time,0,0,1806417991,0
2017,Part Time,1965,2786.4,1808088970,2375.7
2017,Part Time,2601.9,4640.4,1812648746,3621.15
2017,Part Time,0,0,1817354242,0
2017,Part Time,0,72,182918187,72
2017,Part Time,0,0,1833677993,0
2017,Part Time,0,0,1837313365,0
2017,Part Time,0,0,1841491695,0
2017,Part Time,294,114,1862039768,204
2017,Part Time,9458.65,7800.04,1863439635,8629.345
2017,Part Time,7662.6,0,1457561837,7662.6
2017,Part Time,3247.07,3135.3,1880849116,3191.185
2017,Part Time,3407.7,0,1525465953,3407.7
2017,Part Time,7965.26,0,1527951305,7965.26
2017,Part Time,0,0,2065802009,0
2017,Part Time,5736.14,2468.03,1920633519,4102.085
2017,Part Time,2191.5,3978,1529311092,3084.75
2017,Part Time,4777.75,151.47,1532160496,2464.61
2017,Part Time,819,792,1931447682,805.5
2017,Part Time,0,0,1932561530,0
2017,Part Time,6237.47,0,1534910666,6237.47
2017,Part Time,7846.16,4685.48,1943666739,6265.82
2017,Part Time,3093.1,0,1534942550,3093.1
2017,Part Time,4685.98,0,1960697483,4685.98
2017,Part Time,0,0,2137370100,0
2017,Part Time,4949.48,3507.12,1535236327,4228.3
2017,Part Time,5390.93,4093.86,1535261555,4742.395
2017,Part Time,3196.4,0,1541424461,3196.4
2017,Part Time,2641.92,3747.84,1541467104,3194.88
2017,Part Time,1635,0,1541475109,1635
2017,Part Time,0,0,2161231851,0
2017,Part Time,1086.53,527.59,1543001680,807.06
2017,Part Time,0,0,2179586639,0
2017,Part Time,0,0,2003901288,0
2017,Part Time,0,0,2198498073,0
2017,Part Time,4370.23,1884,2015477708,3127.115
2017,Part Time,4364,3751.2,2047457711,4057.6
2017,Part Time,4652.19,4098.12,1569803232,4375.155
2017,Part Time,2852.19,1447.39,1574741028,2149.79
2017,Part Time,0,0,2066746858,0
2017,Part Time,0,0,2069894347,0
2017,Part Time,4364,3751.2,2073776149,4057.6
2017,Part Time,2191.5,3682.8,1591837287,2937.15
2017,Part Time,3862.06,0,1598778116,3862.06
2017,Part Time,6939.31,3915.29,2091267972,5427.3
2017,Part Time,6186.59,4183.2,2094381936,5184.895
2017,Part Time,6324,0,2105009739,6324
2017,Part Time,3236.91,4493.3,1602559750,3865.105
2017,Part Time,3650.96,403.92,162017740,2027.44
2017,Part Time,0,0,2139793488,0
2017,Part Time,2246.1,3391.2,1620199733,2818.65
2017,Part Time,3768.97,1943.1,1625429378,2856.035
2017,Part Time,3349.18,0,1636113008,3349.18
2017,Part Time,0,0,1636220586,0
2017,Part Time,9794.51,9720.36,2172474618,9757.435
2017,Part Time,1425.6,3321,2174966916,2373.3
2017,Part Time,3374.25,0,2194075263,3374.25
2017,Part Time,3434.9,0,2194854621,3434.9
2017,Part Time,854.45,0,1644851701,854.45
2017,Part Time,1764.18,0,164976059,1764.18
2017,Part Time,0,0,2451361535,0
2017,Part Time,1367.03,0,1649784698,1367.03
2017,Part Time,4104.69,0,1650834924,4104.69
2017,Part Time,0,1580.4,1650870606,1580.4
2017,Part Time,9921.32,3306.66,1655986423,6613.99
2017,Part Time,0,0,2257997888,0
2017,Part Time,0,0,2264158765,0
2017,Part Time,4278.13,3088.32,1662616305,3683.225
2017,Part Time,0,0,1662649424,0
2017,Part Time,3890.9,1403.9,1662696467,2647.4
2017,Part Time,1643.44,0,1675866515,1643.44
2017,Part Time,2002.01,945.88,2300215959,1473.945
2017,Part Time,3935.74,0,1704247712,3935.74
2017,Part Time,4899.18,4212,2329648930,4555.59
2017,Part Time,0,0,2333834557,0
2017,Part Time,4534.56,3317.76,1707727306,3926.16
2017,Part Time,5747.45,0,171916177,5747.45
2017,Part Time,4350.24,3686.4,1719244960,4018.32
2017,Part Time,632,550.8,2367220804,591.4
2017,Part Time,2446.29,0,2376995027,2446.29
2017,Part Time,667.52,0,2379506523,667.52
2017,Part Time,3751.02,2684.15,1738266518,3217.585
2017,Part Time,3548.92,0,2389864380,3548.92
2017,Part Time,0,0,26610431,0
2017,Part Time,2046.05,0,2408620956,2046.05
2017,Part Time,0,0,2674064349,0
2017,Part Time,668.34,0,2427114295,668.34
2017,Part Time,4362.64,2827.46,1776533006,3595.05
2017,Part Time,6322.35,984.02,2435029203,3653.185
2017,Part Time,2374.75,0,2443015637,2374.75
2017,Part Time,2373.48,0,1845742012,2373.48
2017,Part Time,0,3152.26,244882153,3152.26
2017,Part Time,5105.73,1035.11,2451917234,3070.42
2017,Part Time,0,0,2721575011,0
2017,Part Time,2456.83,0,1845753624,2456.83
2017,Part Time,4746.34,2863.41,1848181814,3804.875
2017,Part Time,0,0,2469692755,0
2017,Part Time,0,0,2474963071,0
2017,Part Time,2490.15,926.93,247721545,1708.54
2017,Part Time,3551.9,3499.1,2505507221,3525.5
2017,Part Time,0,0,2509473898,0
2017,Part Time,3796.2,0,2513339160,3796.2
2017,Part Time,2922.64,0,2515663634,2922.64
2017,Part Time,6849.3,4147.15,2540925876,5498.225
2017,Part Time,0,0,2543440269,0
2017,Part Time,0,0,254542165,0
2017,Part Time,0,0,2557909422,0
2017,Part Time,774.72,798.93,2562261530,786.825
2017,Part Time,0,0,284692873,0
2017,Part Time,4364,3855.6,2567789733,4109.8
2017,Part Time,2060.5,1872,258198997,1966.25
2017,Part Time,0,0,2866283812,0
2017,Part Time,0,0,2595373321,0
2017,Part Time,4450.23,2524.51,2602559610,3487.37
2017,Part Time,6402.66,3884.36,2604438492,5143.51
2017,Part Time,4327.63,664.79,2606872302,2496.21
2017,Part Time,0,0,1857082661,0
2017,Part Time,4349.79,4121.88,1858607252,4235.835
2017,Part Time,4364,3786,264861198,4075
2017,Part Time,0,0,2948317421,0
2017,Part Time,6651.81,0,1904152708,6651.81
2017,Part Time,0,0,2967684358,0
