Record_Number,Employment_Type,Prev_Half_Pay,Year,Pred,Answer,Flag,Answer,Answer
1307827953,Full Time,9415.74,2018,11712.62207,23425.24414,1,23425.24414,23425.24414
1527199392,Full Time,35907.615,2018,35742.69531,71485.39063,1,71485.39063,71485.39063
2159091974,Full Time,35968.525,2018,36168.53906,72337.07813,1,72337.07813,72337.07813
2224115691,Full Time,43695.675,2018,43302.14063,86604.28125,1,86604.28125,86604.28125
365071721,Full Time,23334.035,2018,23849.65234,47699.30469,1,47699.30469,47699.30469
3685935320,Full Time,29054,2018,29472.04102,58944.08203,1,58944.08203,58944.08203
3981116369,Full Time,16767.6,2018,16993.95117,33987.90234,1,33987.90234,33987.90234
409060701,Full Time,17481.6,2018,17833.98438,35667.96875,1,35667.96875,35667.96875
52503242,Full Time,41009.695,2018,41034.84375,82069.6875,1,82069.6875,82069.6875
1004265935,Full Time,31179.885,2018,31354.21289,62708.42578,1,62708.42578,62708.42578
1000027830,Full Time,30887.705,2018,31276.26172,62552.52344,1,62552.52344,62552.52344
1000066019,Full Time,24250.32,2018,24905.51172,49811.02344,1,49811.02344,49811.02344
1000194958,Full Time,46951.04,2018,45564.02734,91128.05469,1,91128.05469,91128.05469
1000232317,Full Time,44442.31,2018,43710.26172,87420.52344,1,87420.52344,87420.52344
1000364472,Full Time,28438.8,2018,28776.87305,57553.74609,1,57553.74609,57553.74609
1000421983,Full Time,26284.8,2018,26691.14844,53382.29688,1,53382.29688,53382.29688
1000560683,Full Time,28456.945,2018,28849.52734,57699.05469,1,57699.05469,57699.05469
10007663,Full Time,23756.1,2018,24132.54492,48265.08984,1,48265.08984,48265.08984
100077273,Full Time,0,2018,2708.093018,5416.186035,1,5416.186035,5416.186035
1000839015,Full Time,26815.77,2018,27194.06836,54388.13672,1,54388.13672,54388.13672
100096941,Full Time,21044.67,2018,21461.29883,42922.59766,1,42922.59766,42922.59766
1001124320,Full Time,19410.905,2018,19567.24609,39134.49219,1,39134.49219,39134.49219
1001140866,Full Time,13443.13,2018,13938.90039,27877.80078,1,27877.80078,27877.80078
1001221822,Full Time,28069.965,2018,28384.94727,56769.89453,1,56769.89453,56769.89453
100124285,Full Time,34638.945,2018,34780.08203,69560.16406,1,69560.16406,69560.16406
1001317832,Full Time,26786.07,2018,27183.60352,54367.20703,1,54367.20703,54367.20703
1001440545,Full Time,12077.46,2018,12824.37305,25648.74609,1,25648.74609,25648.74609
1001563650,Full Time,16727.535,2018,16988.24219,33976.48438,1,33976.48438,33976.48438
100162910,Full Time,24738.03,2018,25235.125,50470.25,1,50470.25,50470.25
1001671882,Full Time,41246,2018,41218.82031,82437.64063,1,82437.64063,82437.64063
1001675957,Full Time,27232.635,2018,27593.30273,55186.60547,1,55186.60547,55186.60547
1001695016,Full Time,14643.2,2018,15064.42676,30128.85352,1,30128.85352,30128.85352
1001884819,Full Time,20144.505,2018,20545.4082,41090.81641,1,41090.81641,41090.81641
1001893163,Full Time,18373.595,2018,18647.93164,37295.86328,1,37295.86328,37295.86328
1001905785,Full Time,53866.13,2018,49217.63281,98435.26563,1,98435.26563,98435.26563
1001944738,Full Time,30990.87,2018,31334.24805,62668.49609,1,62668.49609,62668.49609
1001945123,Full Time,27822.065,2018,28014.48438,56028.96875,1,56028.96875,56028.96875
1002042419,Full Time,16440.375,2018,16751.74414,33503.48828,1,33503.48828,33503.48828
1002057360,Full Time,4078.08,2018,13178.95313,26357.90625,1,26357.90625,26357.90625
1002085588,Full Time,12561.17,2018,13285.81738,26571.63477,1,26571.63477,26571.63477
1002130218,Full Time,33824.325,2018,34123.28516,68246.57031,1,68246.57031,68246.57031
1002241970,Full Time,18043.56,2018,18417.43555,36834.87109,1,36834.87109,36834.87109
1002314619,Full Time,16765.625,2018,16993.95117,33987.90234,1,33987.90234,33987.90234
1002364863,Full Time,29896.995,2018,30363.60547,60727.21094,1,60727.21094,60727.21094
1002390338,Full Time,27457.185,2018,27972.75781,55945.51563,1,55945.51563,55945.51563
1002409510,Full Time,27949.645,2018,28296.95703,56593.91406,1,56593.91406,56593.91406
1002653719,Full Time,24531.4,2018,25011.72461,50023.44922,1,50023.44922,50023.44922
1002807934,Full Time,25807.74,2018,26247.49609,52494.99219,1,52494.99219,52494.99219
1002850392,Full Time,26998.4,2018,27428.59766,54857.19531,1,54857.19531,54857.19531
1002961951,Full Time,19454.405,2018,19838.71484,39677.42969,1,39677.42969,39677.42969
100305817,Full Time,30412.31,2018,30781.65234,61563.30469,1,61563.30469,61563.30469
100309798,Full Time,29473.335,2018,29841.17773,59682.35547,1,59682.35547,59682.35547
1003303056,Full Time,28072.9,2018,28384.94727,56769.89453,1,56769.89453,56769.89453
100331642,Full Time,29126.505,2018,29473.61523,58947.23047,1,58947.23047,58947.23047
1003376392,Full Time,29006.89,2018,29432.45508,58864.91016,1,58864.91016,58864.91016
1003902021,Full Time,34131.7,2018,34443.48828,68886.97656,1,68886.97656,68886.97656
1004058312,Full Time,46406.4,2018,45557.51953,91115.03906,1,91115.03906,91115.03906
1004080838,Full Time,35317.245,2018,35421.33203,70842.66406,1,70842.66406,70842.66406
1004201930,Full Time,36697.145,2018,36641.84375,73283.6875,1,73283.6875,73283.6875
1004203842,Full Time,11462.455,2018,12634.42871,25268.85742,1,25268.85742,25268.85742
1004256976,Full Time,14166.17,2018,14384.2207,28768.44141,1,28768.44141,28768.44141
1004404824,Full Time,24437.39,2018,24784.01172,49568.02344,1,49568.02344,49568.02344
1004423898,Full Time,24833.23,2018,25378.3125,50756.625,1,50756.625,50756.625
1004513961,Full Time,21669.35,2018,21970.3457,43940.69141,1,43940.69141,43940.69141
1004756158,Full Time,20408,2018,20698.29492,41396.58984,1,41396.58984,41396.58984
1004987830,Full Time,49923.445,2018,47481.41016,94962.82031,1,94962.82031,94962.82031
1004991291,Full Time,16029.33,2018,16189.29395,32378.58789,1,32378.58789,32378.58789
1004996465,Full Time,13319.28,2018,13724.28613,27448.57227,1,27448.57227,27448.57227
1005033921,Full Time,0,2018,2708.093018,5416.186035,1,5416.186035,5416.186035
1005060866,Full Time,38683.775,2018,38542.45313,77084.90625,1,77084.90625,77084.90625
1005424978,Full Time,15385.995,2018,15792.84375,31585.6875,1,31585.6875,31585.6875
1005481105,Full Time,31621.225,2018,31919.35742,63838.71484,1,63838.71484,63838.71484
1005624475,Full Time,10689.6,2018,12102.62012,24205.24023,1,24205.24023,24205.24023
1005651212,Full Time,14751.2,2018,15100.46094,30200.92188,1,30200.92188,30200.92188
2711062101,Full Time,55520.865,2018,49676.11328,99352.22656,1,99352.22656,99352.22656
1005804681,Full Time,15015.56,2018,15295.88281,30591.76563,1,30591.76563,30591.76563
1005856824,Full Time,13601.58,2018,13911.75098,27823.50195,1,27823.50195,27823.50195
1005936859,Full Time,12505.24,2018,13080.32129,26160.64258,1,26160.64258,26160.64258
1006068621,Full Time,34869.63,2018,35180.06641,70360.13281,1,70360.13281,70360.13281
1006106710,Full Time,26509.32,2018,26849.95508,53699.91016,1,53699.91016,53699.91016
1006268516,Full Time,4905.6,2018,12446.79688,24893.59375,1,24893.59375,24893.59375
1006348874,Full Time,34563.35,2018,34785.08984,69570.17969,1,69570.17969,69570.17969
1006408127,Full Time,22532.5,2018,23019.63477,46039.26953,1,46039.26953,46039.26953
1006450881,Full Time,31010.14,2018,31314.89258,62629.78516,1,62629.78516,62629.78516
1006593097,Full Time,30770.275,2018,31044.80273,62089.60547,1,62089.60547,62089.60547
1006633328,Full Time,36993.87,2018,37143.10547,74286.21094,1,74286.21094,74286.21094
1006660377,Full Time,35666.575,2018,35753.875,71507.75,1,71507.75,71507.75
1006664476,Full Time,12791.335,2018,13235.54883,26471.09766,1,26471.09766,26471.09766
